Year,Description, Educational , Tort , Operations & Maintenance , Transportation , IMRF/Social Security , Working Cash , Total 
2006-07,FY07 Act,35951135,0,4053830,974310,1032078,379392,42390745
2007-08,FY08 Act,38247846,0,4134375,962992,1055733,388851,44789797
2009-10,FY10 Act,45466643.63,761365.52,4127403.21,836268.51,1608689.72,293005.68,53093376.27
2010-2011,FY11 Act,43131618,668138,3918986,820049,1480012,186873,50205676
2011-12,FY12 Act,54340878,905280,4356111,973813,1776869,99965,62452916
2012-13,FY13 Act,52972031,1057491,4643301,1181843,1802562,99680,61756908
2013-14,FY14 Act,55751217,996036,5257058,1610711,1751411,99090,65465523
2014-15,FY15 Act,55424101,769856,6614067,1865174,1627044,98246,66398488
2015-16,FY16 Bud,56674404,590470,7006628,1588268,1496379,101284,67457433
2016-17,FY17 Proj,56971892.529275,492022.62506,7260717.736,1762253.38052,1540337.72278,103705.04752,68130929.041155
2017-18,FY18 Proj,56731821.6752349,499174.50854759,7289260.206944,1777159.99893956,1553583.66513334,104783.09393128,67955783.1487307
2018-19,FY19 Proj,56484863.36165,503943.673474911,7425856.15087594,1797030.41627378,1554700.79679548,105043.689821017,67871438.0888912
 2019-20 ,FY20 Proj,56713873.2392298,517548.110389718,7623654.26694958,1819343.35586372,1595643.3883463,107996.421448147,68378058.7822273
 2020-21 ,FY21 Proj,58495216.8600821,531528.178277367,7026792.93215722,1842172.79290674,1637714.22239312,111029.051657213,69644454.0374737
